"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","            Indo-Iranian languages; n.i.e.",,      50,,      35,,      15,,    5180,,    2755,,    2425,
"Mother tongue","          Italic (Romance) languages",,    2170,,    1000,,    1170,, 1154270,,  558660,,  595615,
"Mother tongue","            Catalan",,       0,,       0,,       0,,     865,,     440,,     425,
"Mother tongue","            Italian",,     515,,     255,,     260,,  375635,,  184415,,  191220,
"Mother tongue","            Portuguese",,     170,,      85,,      85,,  221540,,  106630,,  114910,
"Mother tongue","            Romanian",,     595,,     275,,     325,,   96665,,   46195,,   50470,
"Mother tongue","            Spanish",,     885,,     390,,     490,,  458850,,  220605,,  238245,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,       5,,       0,,       0,,     720,,     380,,     340,
"Mother tongue","        Japanese",,      50,,      20,,      30,,   43640,,   14790,,   28855,
"Mother tongue","        Kartvelian languages",,     440,,     260,,     185,,    1715,,     910,,     805,
"Mother tongue","          Georgian",,     440,,     255,,     185,,    1715,,     910,,     805,
"Mother tongue","        Korean",,    1405,,     685,,     720,,  153425,,   70310,,   83115,
"Mother tongue","        Mongolic languages",,      20,,      10,,      10,,    1575,,     690,,     885,
"Mother tongue","          Mongolian",,      20,,      10,,      10,,    1575,,     690,,     880,
"Mother tongue","        Niger-Congo languages",,      60,,      30,,      35,,   91375,,   45075,,   46305,
"Mother tongue","          Akan (Twi)",,      15,,      10,,       5,,   13455,,    6490,,    6970,
"Mother tongue","          Bamanankan",,       0,,       0,,       0,,    1535,,     815,,     720,
"Mother tongue","          Edo",,       5,,       5,,       5,,    1670,,     770,,     900,
"Mother tongue","          Ewe",,       0,,       0,,       0,,    1760,,     950,,     805,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,    2825,,    1495,,    1335,
"Mother tongue","          Ga",,       0,,       0,,       0,,     920,,     445,,     470,
"Mother tongue","          Ganda",,       0,,       0,,       0,,    1295,,     625,,     665,
"Mother tongue","          Igbo",,       5,,       0,,       5,,    4235,,    2265,,    1970,
"Mother tongue","          Lingala",,       0,,       0,,       0,,    3810,,    1785,,    2025,
"Mother tongue","          Rundi (Kirundi)",,       5,,       0,,       0,,    5845,,    2785,,    3060,
"Mother tongue","          Kinyarwanda (Rwanda)",,       5,,       0,,       0,,    5250,,    2355,,    2895,
"Mother tongue","          Shona",,       0,,       5,,       0,,    3180,,    1520,,    1665,
"Mother tongue","          Swahili",,       5,,       5,,       0,,   13370,,    6385,,    6990,
"Mother tongue","          Wolof",,       0,,       0,,       0,,    3990,,    2170,,    1820,
"Mother tongue","          Yoruba",,      15,,       5,,       5,,    9085,,    4785,,    4300,
"Mother tongue","          Niger-Congo languages; n.i.e.",,       5,,       0,,      10,,   19135,,    9435,,    9695,
"Mother tongue","        Nilo-Saharan languages",,       5,,       0,,       5,,    5870,,    3025,,    2845,
"Mother tongue","          Dinka",,       0,,       0,,       0,,    2120,,    1115,,    1000,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,       5,,       5,,       5,,    3755,,    1910,,    1840,
"Mother tongue","        Sign languages",,      10,,       5,,       5,,    7500,,    3925,,    3575,
"Mother tongue","          American Sign Language",,       0,,       0,,       0,,    2685,,    1320,,    1360,
"Mother tongue","          Quebec Sign Language",,       0,,       0,,       0,,     695,,     340,,     355,
"Mother tongue","          Sign languages; n.i.e",,       5,,       5,,       0,,    4120,,    2265,,    1860,
"Mother tongue","        Sino-Tibetan languages",,    1315,,     610,,     705,, 1269215,,  589570,,  679645,
"Mother tongue","          Chinese languages",,    1305,,     610,,     695,, 1253360,,  581650,,  671715,
"Mother tongue","            Cantonese",,     435,,     215,,     220,,  565270,,  262865,,  302405,
"Mother tongue","            Hakka",,      15,,       0,,      10,,   10910,,    4900,,    6015,
"Mother tongue","            Mandarin",,     720,,     335,,     390,,  592040,,  274630,,  317410,
"Mother tongue","            Min Dong",,       0,,       0,,       0,,    1230,,     580,,     650,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,      80,,      35,,      50,,   31795,,   14450,,   17350,
"Mother tongue","            Wu (Shanghainese)",,      10,,       5,,       5,,   12915,,    5780,,    7140,
"Mother tongue","            Chinese; n.o.s.",,      45,,      15,,      30,,   38580,,   18165,,   20410,
"Mother tongue","            Chinese languages; n.i.e.",,       0,,       0,,       0,,     610,,     275,,     335,
"Mother tongue","          Tibeto-Burman languages",,      10,,       5,,       0,,   15850,,    7925,,    7935,
"Mother tongue","            Burmese",,       5,,       5,,       5,,    3585,,    1795,,    1790,
"Mother tongue","            Karenic languages",,       0,,       0,,       0,,    4705,,    2355,,    2350,
"Mother tongue","            Tibetan",,       0,,       0,,       0,,    6165,,    3080,,    3080,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,    1400,,     695,,     705,
"Mother tongue","        Tai-Kadai languages",,       5,,       0,,      10,,   22010,,    8870,,   13145,
"Mother tongue","          Lao",,       5,,       0,,       0,,   12670,,    6145,,    6525,
"Mother tongue","          Thai",,      10,,       5,,       5,,    9255,,    2690,,    6565,
"Mother tongue","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      80,,      35,,      55,
"Mother tongue","        Turkic languages",,     410,,     200,,     210,,   40140,,   21120,,   19025,
"Mother tongue","          Azerbaijani",,     150,,      70,,      80,,    3260,,    1785,,    1470,
"Mother tongue","          Turkish",,     150,,      70,,      80,,   32815,,   17375,,   15440,
"Mother tongue","          Uyghur",,       0,,       0,,       0,,    1035,,     510,,     525,
"Mother tongue","          Uzbek",,      85,,      45,,      40,,    1715,,     855,,     865,
"Mother tongue","          Turkic languages; n.i.e.",,      25,,      15,,       5,,    1315,,     590,,     720,
"Mother tongue","        Uralic languages",,     420,,     205,,     215,,   81985,,   37790,,   44195,
"Mother tongue","          Estonian",,      15,,      10,,      10,,    5445,,    2325,,    3115,
"Mother tongue","          Finnish",,      15,,       5,,       5,,   15295,,    6395,,    8900,
"Mother tongue","          Hungarian",,     395,,     190,,     205,,   61235,,   29060,,   32175,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Other languages; n.i.e.",,       5,,       5,,       5,,    3690,,    2045,,    1645,
"Mother tongue","  Multiple responses",,    1900,,     835,,    1065,,  818635,,  398325,,  420305,
"Mother tongue","    English and French",,      70,,      20,,      50,,  165320,,   80460,,   84860,
"Mother tongue","    English and non-official language",,    1730,,     765,,     965,,  533265,,  259160,,  274100,
"Mother tongue","    French and non-official language",,      70,,      30,,      35,,   86150,,   42170,,   43985,
"Mother tongue","    English; French and non-official language",,      35,,      20,,      20,,   33900,,   16535,,   17365,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19,   40430,,   18820,,   21610,,34767250,,17101165,,17666085,
"Language spoken most often at home","  Single responses",,   34835,,   16405,,   18435,,33103860,,16298475,,16805395,
"Language spoken most often at home","    Official languages",,   18460,,    8875,,    9585,,29106670,,14383020,,14723645,
"Language spoken most often at home","      English",,   18310,,    8810,,    9500,,22162865,,10966135,,11196730,
"Language spoken most often at home","      French",,     150,,      65,,      90,, 6943800,, 3416890,, 3526910,
"Language spoken most often at home","    Non-official languages",,   16375,,    7525,,    8850,, 3997195,, 1915450,, 2081750,
"Language spoken most often at home","      Aboriginal languages",,       0,,       0,,       0,,  118470,,   59720,,   58750,
"Language spoken most often at home","        Algonquian languages",,       0,,       0,,       0,,   75080,,   37825,,   37260,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,    1115,,     555,,     555,
"Language spoken most often at home","          Cree-Montagnais languages",,       0,,       0,,       0,,   55825,,   28135,,   27685,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,    5465,,    2825,,    2640,
"Language spoken most often at home","            Montagnais (Innu)",,       0,,       0,,       0,,    8590,,    4195,,    4395,
"Language spoken most often at home","            Moose Cree",,       0,,       0,,       0,,      10,,       5,,       5,
"Language spoken most often at home","            Naskapi",,       0,,       0,,       0,,    1200,,     595,,     605,
"Language spoken most often at home","            Northern East Cree",,       0,,       0,,       0,,     110,,      55,,      60,
"Language spoken most often at home","            Plains Cree",,       0,,       0,,       0,,    1350,,     665,,     685,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,      20,,       5,,      15,
"Language spoken most often at home","            Swampy Cree",,       0,,       0,,       0,,     330,,     140,,     190,
"Language spoken most often at home","            Woods Cree",,       0,,       0,,       0,,     800,,     410,,     390,
"Language spoken most often at home","            Cree; n.o.s.",,       0,,       0,,       0,,   37945,,   19240,,   18710,
"Language spoken most often at home","          Eastern Algonquian languages",,       0,,       0,,       0,,    3615,,    1795,,    1820,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,      55,,      30,,      30,
"Language spoken most often at home","            Mi'kmaq",,       0,,       0,,       0,,    3560,,    1770,,    1795,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,   14525,,    7335,,    7190,
"Language spoken most often at home","            Algonquin",,       0,,       0,,       0,,     370,,     170,,     200,
"Language spoken most often at home","            Ojibway",,       0,,       0,,       0,,    6175,,    3165,,    3015,
"Language spoken most often at home","            Oji-Cree",,       0,,       0,,       0,,    7900,,    3960,,    3940,
"Language spoken most often at home","            Ottawa (Odawa)",,       0,,       0,,       0,,      75,,      40,,      35,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       5,
"Language spoken most often at home","        Athabaskan languages",,       0,,       0,,       0,,   10265,,    5125,,    5135,
"Language spoken most often at home","          Northern Athabaskan languages",,       0,,       0,,       0,,   10255,,    5120,,    5135,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","            Beaver",,       0,,       0,,       0,,      50,,      30,,      20,
"Language spoken most often at home","            Carrier",,       0,,       0,,       0,,     245,,     115,,     130,
"Language spoken most often at home","            Chilcotin",,       0,,       0,,       0,,     255,,     125,,     130,
"Language spoken most often at home","            Dene",,       0,,       0,,       0,,    7710,,    3805,,    3905,
"Language spoken most often at home","            Dogrib (Tlicho)",,       0,,       0,,       0,,    1020,,     550,,     475,
